# Exchange addresses scraped from Arkham Intelligence, CoinCarp, and BitInfoCharts
# Generated: 2026-03-11
# Total: 195 addresses across 12 entities
address,entity,source
3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H,FTX,arkham-labeled
3PzfdxLQSkpNnmNLCxU2jFGoJcdjaaJyrc,FTX,arkham-labeled
3QxXBwXNvygQUAHTcfeLyjVFz3QoZLGML8,FTX,arkham-labeled
bc1p9qt4a77ys7drjnzn5lr7pse83pgn6sx0ezf8weqnqeeggpjf9akqaj3etc,FTX,arkham-labeled
bc1pkd0e737hd0atphpzjruc7kkdp54et7aykz3r68g8lupa0v3mxesscdgj4f,FTX,arkham-labeled
bc1q0t343ejw0c5axdu7rcw73zsmk3kshtkkppgq4g,FTX,arkham-labeled
bc1q45cgf4fjp55umdy6r7av4kxa5rqzhrkx9x3wrq2e6q0p363ndfhqrpw8p9,FTX,arkham-labeled
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,FTX,arkham-labeled
bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,FTX,arkham-labeled
bc1q6fwmawul0g54df6afyrwy7kspnmnhkyhurd7ks,FTX,arkham-labeled
bc1q6h2v33qt0jjvpr2hxxtwhtvdvtn086g0n2qu06,FTX,arkham-labeled
bc1q72nyp6mzxjxm02j7t85pg0pq24684zdj2wuweu,FTX,arkham-labeled
bc1q78cnqkgsqpkgdaxwx6s9n923yxusfpt4djj872,FTX,arkham-labeled
bc1q7mzt6u966lv376dhd3xaxqapy9pl4tn3dwudgx,FTX,arkham-labeled
bc1q7uq3u829ahn22sdlpac0h0lurq3a9yfd3ew69f,FTX,arkham-labeled
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,FTX,arkham-labeled
bc1q86f3h9x4wwwz95rumxh7ad9wd4mcpntvnjq2xn,FTX,arkham-labeled
bc1q8p93qxnprxhvnjtughz9474llx4mh6nn6lh2qq,FTX,arkham-labeled
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,FTX,arkham-labeled
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,FTX,arkham-labeled
bc1q9d5lq9psmkx9rtgewjgez7csg45faak2cccew8,FTX,arkham-labeled
bc1qa6cj8hnkrux6tpzrlsyxpe6h55ayemkcgzuy2f,FTX,arkham-labeled
bc1qatjx2qc8vxz39m0qdz303z8et2pgmc74xz8km3,FTX,arkham-labeled
bc1qazpv485pqywvf5y3hqhdjat0hh85hx5755rdj2,FTX,arkham-labeled
bc1qc0w72juzgga4kyd9yf8qe8t8ckxensf36zwnc06refqk2xj3n97ssv29nk,FTX,arkham-labeled
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,FTX,arkham-labeled
bc1qd46j77pkp5vdxraf8tw5l6xs36dlygdx2rt9ly,FTX,arkham-labeled
bc1qe2vzc7a0vh509lzwf745avf409478jjttxcjkz,FTX,arkham-labeled
bc1qffyax9rrxmqyq8xwjkzrrqwqjp3ppz5a4665f9,FTX,arkham-labeled
bc1qh7xlyy4m3nl0080wem062w6y9raccgkxtd7n40apfzwj5q7aj20q8z6dfx,FTX,arkham-labeled
bc1qhk0ghcywv0mlmcmz408sdaxudxuk9tvng9xx8g,FTX,arkham-labeled
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,FTX,arkham-labeled
bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0s,FTX,arkham-labeled
bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0,FTX,arkham-labeled
bc1qny762nfgv865pzsdx32ld8k97tgpnqku0l6s6ggc7mmrkk5vdyxq2rj33u,FTX,arkham-labeled
bc1qpmlujxppwz8rnecs8hhsp8v6p4t04n2k99umcc,FTX,arkham-labeled
bc1qptc9cz269u2mc5yguun5a5d6yd5c7f7ne4qj26,FTX,arkham-labeled
bc1qpxxtst47j8p3zn7jj5400l9s5nswp257hmxm03w7qkm0jzsz4f3qpf0vaf,FTX,arkham-labeled
bc1qq2mvrp4g3ugd424dw4xv53rgsf8szkrv853jrc,FTX,arkham-labeled
bc1qqgnjna7clqw5vnu9y8yfcr2f2zty5ezr9kxc2w,FTX,arkham-labeled
bc1qs4z2d3h5je080f74tax92dwg08sf3hylj9vfg3,FTX,arkham-labeled
bc1qs5fejt6h2ekwp9qyua3ras3seq4rslud2rlfpz,FTX,arkham-labeled
bc1qsg6x2cvm75xuddn5g0ss9zglaamgz90q8vcp8w,FTX,arkham-labeled
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,FTX,arkham-labeled
bc1qt9j860dk4f20wrk3sc6nrq3vthqux4mxwyph7k,FTX,arkham-labeled
bc1qt9nvg8mwuqmjlruc8z9m4kns2hd3gk2ylsdryp,FTX,arkham-labeled
bc1qukqenm2t85dhdta9glqehllglxznsu4qyxn079,FTX,arkham-labeled
